City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
243,thompson,55.7435,-97.8558,-0.91,47,20,6.69,CA,1730321825
244,bismil,37.8486,40.6658,16.1,26,100,0.37,TR,1730321974
245,port-vila,-17.7338,168.3219,23.78,83,20,1.54,VU,1730321975
246,hasaki,35.7333,140.8333,17.41,59,40,5.79,JP,1730321918
247,valparaiso,-33.0393,-71.6273,18.33,76,40,5.66,CL,1730321977
248,swift current,50.2834,-107.8014,9.45,43,0,7.72,CA,1730321978
249,huarmey,-10.0681,-78.1522,20.58,71,24,4.37,PE,1730321979
250,sawai madhopur,25.9833,76.3667,24.53,37,4,2.34,IN,1730321980
251,springfield,37.2153,-93.2982,26.92,50,20,8.75,US,1730321685
252,le grau-du-roi,43.5388,4.1356,15.99,88,0,1.54,FR,1730321982
253,veraval,20.9,70.3667,27.55,63,0,2.24,IN,1730321983
254,svyetlahorsk,52.6329,29.7389,11.91,85,100,7.07,BY,1730321984
255,farafangana,-22.8167,47.8333,23.12,90,92,4.04,MG,1730321986
256,minas de marcona,-15.2119,-75.1103,17.48,59,5,7.18,PE,1730321696
257,antalaha,-14.9003,50.2788,21.56,89,15,1.96,MG,1730321988
258,cestos city,5.46,-9.5828,25.71,89,75,3.81,LR,1730321989
259,amuntai,-2.4177,115.2494,24.07,95,100,0.71,ID,1730321990
260,brisas de zicatela,15.8369,-97.0419,29.6,66,34,2.68,MX,1730321991
261,kodinar,20.7903,70.7031,26.9,58,0,2.48,IN,1730321992
262,porto murtinho,-21.6989,-57.8825,35.06,29,99,1.72,BR,1730321993
263,bata,1.8639,9.7658,25.89,87,100,2.61,GQ,1730321994
264,bikenibeu village,1.3673,173.1241,28.98,74,20,1.03,KI,1730321995
265,petropavlovsk-kamchatsky,53.0452,158.6483,0.33,37,40,8.0,RU,1730321996
266,kudahuvadhoo,2.6708,72.8944,27.78,76,93,3.99,MV,1730321997
267,kone,-21.0595,164.8658,24.7,57,29,1.37,NC,1730321998
268,progreso,21.2833,-89.6667,28.95,71,93,4.7,MX,1730322000
269,cabo san lucas,22.8909,-109.9124,29.05,51,0,2.67,MX,1730322001
270,qinnan,33.2531,119.9133,13.16,88,0,2.76,CN,1730322002
271,hozat,39.1083,39.2213,8.52,31,100,1.6,TR,1730322004
272,labytnangi,66.6572,66.4183,-12.16,98,65,0.86,RU,1730322005
273,broome,42.2506,-75.833,23.14,71,100,4.26,US,1730322007
274,paramirim,-13.4425,-42.2389,28.47,41,79,2.52,BR,1730322008
275,vadso,70.0744,29.7487,0.09,80,0,6.17,NO,1730322009
276,ola,59.5833,151.2833,-7.7,61,100,7.47,RU,1730322011
277,rioja,-29.4111,-66.8507,35.45,24,0,8.73,AR,1730321922
278,chonchi,-42.6128,-73.8092,17.29,61,18,0.07,CL,1730321827
279,tandalti,13.0167,31.8667,29.53,19,9,5.24,SD,1730322014
280,mollendo,-17.0231,-72.0147,18.37,72,80,3.35,PE,1730322015
281,asmara,15.3333,38.9333,14.89,80,18,1.61,ER,1730322016
282,dzhetygara,52.1908,61.2006,0.15,94,86,0.55,KZ,1730322017
283,ailuk,10.2197,169.9797,28.4,77,28,6.51,MH,1730322018
284,naze,28.3667,129.4833,24.51,88,100,5.85,JP,1730322019
285,coihueco,-36.6167,-71.8333,20.41,64,40,1.54,CL,1730321815
286,bubaque,11.2833,-15.8333,28.63,77,67,5.06,GW,1730322021
287,hassi messaoud,31.6804,6.0729,26.92,29,40,2.06,DZ,1730322023
288,fria,10.4167,-13.5833,24.23,89,61,1.04,GN,1730322024
289,thinadhoo,0.5333,72.9333,27.46,69,100,2.35,MV,1730322025
290,verkhnevilyuysk,63.4453,120.3167,-25.09,100,97,0.35,RU,1730322026
291,wynyard,-41.0,145.7167,13.56,89,96,0.45,AU,1730322000
292,fisterra,42.9049,-9.2629,17.47,82,38,5.41,ES,1730322029
293,hobyo,5.3505,48.5268,26.5,84,2,4.64,SO,1730322030
294,riosucio,5.4216,-75.7032,17.6,98,100,0.65,CO,1730322031
295,shalkar,47.8288,59.6258,3.91,95,100,4.93,KZ,1730322032
296,inhambane,-23.865,35.3833,22.75,83,54,6.79,MZ,1730322034
297,cabedelo,-6.9811,-34.8339,27.37,74,64,3.92,BR,1730321780
298,lauro de freitas,-12.8944,-38.3272,27.01,69,20,6.17,BR,1730321974
299,bandarbeyla,9.4942,50.8122,25.55,70,3,4.93,SO,1730322038
300,khorixas,-20.3667,14.9667,18.22,42,0,1.48,NA,1730322039
301,sorong,-0.8833,131.25,27.15,86,19,3.39,ID,1730322040
302,yuzhno-kurilsk,44.0306,145.8556,8.07,85,100,2.1,RU,1730322041
303,puerto lempira,15.2667,-83.7667,28.08,82,98,2.54,HN,1730322043
304,kiama,-34.6833,150.8667,19.03,90,27,0.45,AU,1730322044
305,ljusdal,61.8288,16.0913,4.12,67,69,4.67,SE,1730322046
306,dapa,9.7594,126.0531,27.82,73,100,1.81,PH,1730322047
307,ta`u,-14.2336,-169.5144,27.07,79,100,5.27,AS,1730322048
308,idanre,7.1127,5.1159,22.97,94,49,1.32,NG,1730322049
309,saint-jean-de-luz,43.3891,-1.6581,15.95,100,20,1.03,FR,1730322050
310,bhabhua,25.05,83.6167,23.98,59,6,1.71,IN,1730322051
311,mil'kovo,55.6078,37.7956,8.08,49,100,8.43,RU,1730322052
312,badger,64.8,-147.5333,-10.11,90,32,1.38,US,1730322053
313,codrington,-38.2667,141.9667,12.65,77,53,3.95,AU,1730322054
314,palangkaraya,-2.2,113.8333,23.87,97,100,1.8,ID,1730322056
315,custoias,41.1053,-7.321,14.52,72,85,0.47,PT,1730322057
316,new norfolk,-42.7826,147.0587,10.51,96,98,0.5,AU,1730322059
317,phan rang-thap cham,11.5667,108.9833,23.55,83,33,1.37,VN,1730322060
318,island harbour,50.724,-1.2758,12.21,72,64,2.98,GB,1730322062
319,laharpur,27.7167,80.9,23.77,61,2,1.34,IN,1730322063
320,tromso,69.6496,18.957,1.01,75,75,6.17,NO,1730322065
321,richards bay,-28.783,32.0377,19.91,78,16,5.34,ZA,1730322066
322,kandahar,31.0,65.75,13.9,28,7,1.82,AF,1730322067
323,pitimbu,-7.4706,-34.8086,25.2,72,100,3.75,BR,1730322068
324,howard springs,-12.497,131.047,22.95,90,100,2.1,AU,1730322069
325,safford,32.834,-109.7076,21.51,17,0,5.66,US,1730322070
326,namibe,-15.1961,12.1522,18.46,79,18,4.26,AO,1730322071
327,oloron-sainte-marie,43.1944,-0.6107,14.76,93,100,1.39,FR,1730322073
328,zuni pueblo,35.0725,-108.8506,8.36,24,1,7.71,US,1730322074
329,arawa,-6.2132,155.5367,27.91,71,51,0.91,PG,1730322075
330,harper,4.375,-7.7169,24.96,90,87,2.76,LR,1730322077
331,vigan,17.5747,120.3869,28.85,79,100,7.98,PH,1730322078
332,chikwawa,-16.0335,34.8009,29.31,58,98,1.35,MW,1730322079
333,paros,37.0833,25.15,20.17,63,0,8.23,GR,1730321927
334,aykhal,66.0,111.5,-19.95,100,99,1.71,RU,1730322081
335,lata,40.1629,-8.3327,13.62,79,100,1.78,PT,1730322083
336,lubang,13.8584,120.124,27.24,88,100,9.53,PH,1730322084
337,sabzevar,36.2126,57.6819,12.4,27,34,2.93,IR,1730322085
338,akureyri,65.6835,-18.0878,2.96,81,75,5.14,IS,1730322086
339,masaya sur,16.497,121.7456,23.9,81,100,2.34,PH,1730322087
340,tsengel,49.4783,100.8894,-4.73,54,96,1.34,MN,1730322088
341,matoury,4.8483,-52.3317,29.98,70,0,4.12,GF,1730322089
342,usogorsk,63.4106,48.6872,1.13,76,100,6.55,RU,1730322090
343,burang,30.25,81.1667,0.27,62,0,1.51,CN,1730322092
344,tuy hoa,13.0833,109.3,24.23,85,38,4.88,VN,1730322093
345,kampong speu,11.5,104.3333,23.21,93,22,1.51,KH,1730322094
346,puerto leguizamo,-0.1934,-74.7819,31.75,48,35,1.39,CO,1730322095
347,sola,-13.8833,167.55,26.39,80,97,5.33,VU,1730322096
348,turbat,26.0023,63.044,26.83,32,0,1.45,PK,1730322097
349,punta arenas,-53.15,-70.9167,14.06,41,75,11.83,CL,1730321906
350,juankoski,63.0667,28.35,1.98,65,85,7.01,FI,1730322099
351,tanjung selor,2.8372,117.3642,23.26,99,100,0.3,ID,1730322100
352,salamanca,40.8333,-6.0,11.35,72,72,4.25,ES,1730322101
353,strugi-krasnyye,58.2675,29.1114,4.26,65,7,5.93,RU,1730322103
354,turtas,58.9417,69.1325,-2.08,87,25,2.17,RU,1730322104
355,kruisfontein,-34.0033,24.7314,12.58,90,0,2.1,ZA,1730322105
356,muroto-misakicho,33.2833,134.15,19.58,57,100,6.18,JP,1730322106
357,de queen,34.0379,-94.3413,27.63,61,88,4.92,US,1730322107
358,medzilaborce,49.2719,21.9007,11.2,84,100,0.63,SK,1730322108
359,kayangel,8.0823,134.7173,28.78,75,2,3.94,PW,1730322109
360,rongelap,11.1635,166.8941,28.53,79,99,6.79,MH,1730322110
361,sumbe,-11.2061,13.8437,24.54,81,94,3.2,AO,1730322111
362,motupe,-6.1519,-79.7142,25.24,46,11,5.65,PE,1730322112
